frame_count,rssi
128,-36
127,-33
126,-37
125,-31
124,-33
123,-23
122,-33
121,-42
120,-51
119,-39
118,-47
117,-48
116,-48
115,-56
114,-55
113,-64
112,-67
111,-58
110,-71
109,-69
108,-75
107,-72
106,-70
104,-89
103,-72
102,-69
101,-76
100,-67
99,-73
98,-78
97,-70
96,-76
95,-78
94,-77
93,-80
92,-84
91,-83
90,-69
89,-64
88,-64
87,-72
86,-65
85,-70
84,-83
83,-70
82,-78
81,-77
80,-76
79,-61
78,-67
77,-82
76,-70
75,-71
74,-73
73,-76
72,-75
71,-67
70,-78
69,-65
68,-60
67,-58
66,-60
65,-76
64,-67
63,-69
62,-55
61,-66
60,-61
59,-59
58,-53
57,-53
56,-55
55,-43
54,-45
53,-43
52,-51
51,-55
50,-77
49,-70
48,-67
47,-65
46,-66
45,-66
44,-67
43,-63
42,-65
41,-63
40,-54
39,-54
38,-49
37,-54
36,-49
35,-45
34,-51
33,-51
32,-47
31,-48
30,-63
29,-42
28,-47
27,-43
26,-43
25,-57
24,-36
23,-45
22,-53
21,-48
20,-54
19,-45
18,-47
17,-41
16,-54
15,-42
14,-48
13,-47
12,-37
11,-46
10,-30
9,-36
8,-33
7,-35
6,-37
5,-34
4,-30
3,-33
2,-31
1,-30
0,-31
