contador,rx_timestamp,rssi,snr,sftx,sfrx,tx_trials,tx_power,tx_time_on_air,tx_counter,tx_frequency
54,124302867,-45,7.0,13,5,0,0,98,53,0
53,122140867,-46,6.0,13,5,0,0,98,52,0
52,119978868,-37,7.0,13,5,0,0,98,51,0
51,113782866,-33,6.0,13,5,0,0,98,50,0
49,111620867,-52,6.0,13,5,0,0,98,48,0
48,109458859,-57,5.0,13,5,0,0,98,47,0
47,107296862,-47,6.0,13,5,0,0,98,46,0
46,105134863,-45,6.0,13,5,0,0,98,45,0
45,102972863,-62,7.0,13,5,0,0,98,44,0
44,100810864,-71,7.0,13,5,0,0,98,43,0
43,98648864,-60,6.0,13,5,0,0,98,42,0
42,96486866,-69,7.0,13,5,0,0,98,41,0
41,94324867,-66,6.0,13,5,0,0,98,40,0
40,92162868,-68,7.0,13,5,0,0,98,39,0
39,90000861,-70,6.0,13,5,0,0,98,38,0
38,87838862,-68,7.0,13,5,0,0,98,37,0
37,85676864,-69,7.0,13,5,0,0,98,36,0
36,83514866,-70,6.0,13,5,0,0,98,35,0
35,81352866,-71,6.0,13,5,0,0,98,34,0
34,79190859,-68,7.0,13,5,0,0,98,33,0
33,77028861,-54,7.0,13,5,0,0,98,32,0
32,74866861,-61,6.0,13,5,0,0,98,31,0
31,72704862,-58,6.0,13,5,0,0,98,30,0
30,70542863,-65,7.0,13,5,0,0,98,29,0
29,68380866,-66,7.0,13,5,0,0,98,28,0
28,66218859,-61,7.0,13,5,0,0,98,27,0
27,64056868,-71,6.0,13,5,0,0,98,26,0
26,61894861,-60,6.0,13,5,0,0,98,25,0
25,59732868,-58,5.0,13,5,0,0,98,24,0
24,57570862,-52,6.0,13,5,0,0,98,23,0
23,55408863,-63,6.0,13,5,0,0,98,22,0
22,53246864,-57,5.0,13,5,0,0,98,21,0
21,51084865,-63,6.0,13,5,0,0,98,20,0
20,48922865,-49,6.0,13,5,0,0,98,19,0
19,46760859,-57,6.0,13,5,0,0,98,18,0
18,44598866,-51,6.0,13,5,0,0,98,17,0
17,42436866,-57,5.0,13,5,0,0,98,16,0
16,40274860,-46,6.0,13,5,0,0,98,15,0
15,38112860,-49,6.0,13,5,0,0,98,14,0
14,35950861,-47,6.0,13,5,0,0,98,13,0
13,33788862,-49,6.0,13,5,0,0,98,12,0
12,31626871,-41,7.0,13,5,0,0,98,11,0
11,29464880,-41,7.0,13,5,0,0,98,10,0
10,23269751,-40,6.0,13,5,0,0,93,9,0
8,21113752,-36,6.0,13,5,0,0,93,7,0
7,18955754,-42,6.0,13,5,0,0,93,6,0
6,16797755,-53,7.0,13,5,0,0,93,5,0
5,14641755,-66,6.0,13,5,0,0,93,4,0
4,12485749,-51,6.0,13,5,0,0,93,3,0
3,10329748,-41,6.0,13,5,0,0,93,2,0
2,8173749,-44,6.0,13,5,0,0,93,1,0
1,6017197,-40,6.0,13,5,0,0,190,0,0
contador,rx_timestamp,rssi,snr,sftx,sfrx,tx_trials,tx_power,tx_time_on_air,tx_counter,tx_frequency
